Timestamp,Transaction ID,Sender Account,Total Sent Amount,Receiver Account,Receiver Amount,Token Symbol,Memo,Fee (HBAR)
2024-12-11T19:50:39.000Z,0.0.4713148-1733946623-141131681,0.0.4713148,7500,0.0.7835661,7500,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.5961 HSUITE,0.00750156
2024-12-11T19:50:23.000Z,0.0.4713148-1733946607-837488003,0.0.4713148,7500,0.0.7835661,7500,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.7049 HSUITE,0.00750156
2024-12-11T19:49:30.000Z,0.0.542474-1733946555-288612589,0.0.542474,23738.271475,0.0.7835661,23738.271475,KBL,HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.0866 HBAR,0.00750687
2024-12-11T19:49:22.000Z,0.0.4713148-1733946545-872782825,0.0.4713148,7500,0.0.7835661,7500,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 16.7553 HSUITE,0.00750156
2024-12-11T19:48:48.000Z,0.0.4713148-1733946511-611210757,0.0.4713148,7500,0.0.7835661,7500,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 16.8564 HSUITE,0.00750156
2024-12-11T19:48:46.000Z,0.0.1008120-1733946513-415163997,0.0.1008120,7000,0.0.7835661,7000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 16.9551 HSUITE,0.00750156
2024-12-11T19:47:21.000Z,0.0.7834769-1733946426-286254368,0.0.7834769,9164.211698,0.0.7835661,9164.211698,KBL,HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.0848 HBAR,0.00750687
2024-12-11T19:46:47.000Z,0.0.542474-1733946390-936467846,0.0.542474,11934.59879,0.0.7835661,11934.59879,KBL,HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.0856 HBAR,0.00773043
2024-12-11T19:46:39.000Z,0.0.4713148-1733946383-965314638,0.0.4713148,5000,0.0.7835661,5000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 16.4579 HSUITE,0.00750156
2024-12-11T19:46:22.000Z,0.0.4713148-1733946369-587355258,0.0.4713148,5000,0.0.7835661,5000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 16.5234 HSUITE,0.00750156
2024-12-11T19:45:48.000Z,0.0.542474-1733946331-586543571,0.0.542474,24049.128407,0.0.7835661,24049.128407,KBL,HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.0875 HBAR,0.00750687
2024-12-11T19:45:33.000Z,0.0.1008120-1733946320-505657213,0.0.1008120,7000,0.0.7835661,7000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 16.9256 HSUITE,0.00750156
2024-12-11T19:45:16.000Z,0.0.4713148-1733946302-185757724,0.0.4713148,7000,0.0.7835661,7000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.0214 HSUITE,0.00750156
2024-12-11T19:44:48.000Z,0.0.4713148-1733946274-526538752,0.0.4713148,6000,0.0.7835661,6000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.1110 HSUITE,0.00750156
2024-12-11T19:44:39.000Z,0.0.542474-1733946266-332764983,0.0.542474,6107.833631,0.0.7835661,6107.833631,KBL,HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.0900 HBAR,0.00773043
2024-12-11T19:44:23.000Z,0.0.1008120-1733946248-987019724,0.0.1008120,7000,0.0.7835661,7000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.2870 HSUITE,0.00750156
2024-12-11T19:43:30.000Z,0.0.1008120-1733946193-369573508,0.0.1008120,6500,0.0.7835661,6500,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.3823 HSUITE,0.00750156
2024-12-11T19:43:25.000Z,0.0.4713148-1733946190-915303347,0.0.4713148,5500,0.0.7835661,5500,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.4677 HSUITE,0.00750156
2024-12-11T19:43:07.000Z,0.0.4713148-1733946173-046598202,0.0.4713148,5000,0.0.7835661,5000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.5430 HSUITE,0.00750156
2024-12-11T19:42:46.000Z,0.0.1008120-1733946152-327806583,0.0.1008120,6471,0.0.7835661,6471,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.4922 HSUITE,0.00750156
2024-12-11T19:42:23.000Z,0.0.4713148-1733946125-953356229,0.0.4713148,4643.620107,0.0.7835661,4643.620107,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.6644 HSUITE,0.00750156
2024-12-11T19:42:03.000Z,0.0.4713148-1733946102-352826949,0.0.4713148,4643.620107,0.0.7835661,4643.620107,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.5534 HSUITE,0.00750156
2024-12-11T19:42:01.000Z,0.0.1008120-1733946102-731491303,0.0.1008120,6118,0.0.7835661,6118,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.7129 HSUITE,0.00750156
2024-12-11T19:34:55.000Z,0.0.4713148-1733945672-116752869,0.0.4713148,4643.620107,0.0.7835661,4643.620107,KBL,HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.0932 HBAR,0.00750687
2024-12-11T19:34:47.000Z,0.0.1008120-1733945671-158610975,0.0.1008120,3048,0.0.7835661,3048,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.8482 HSUITE,0.00750156
2024-12-11T19:34:41.000Z,0.0.4367595-1733945664-651849368,0.0.4367595,11620.993509,0.0.7835661,11620.993509,KBL,HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.0940 HBAR,0.00773043
2024-12-11T19:34:16.000Z,0.0.4615352-1733945644-503703398,0.0.4615352,15000,0.0.7835661,15000,KBL,[KABILA] HSUITE DEX - Swap KBL to USDC - 1 KBL = 0.0279 USDC,0.01051863
2024-12-11T19:33:25.000Z,0.0.1008120-1733945589-573194598,0.0.1008120,3131,0.0.7835661,3131,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 18.0218 HSUITE,0.00750156
2024-12-11T19:32:58.000Z,0.0.4367595-1733945559-973745770,0.0.4367595,1205.61587,0.0.7835661,1205.61587,KBL,HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.0935 HBAR,0.00750687
2024-12-11T19:32:24.000Z,0.0.4855929-1733945529-043186591,0.0.4855929,10000,0.0.7835661,10000,KBL,[KABILA] HSUITE DEX - Swap KBL to USDC - 1 KBL = 0.0276 USDC,0.01074219
2024-12-11T19:32:16.000Z,0.0.1097530-1733945526-851245268,0.0.1097530,55000,0.0.7835661,55000,KBL,[KABILA] HSUITE DEX - Swap KBL to USDC - 1 KBL = 0.0287 USDC,0.01074219
2024-12-11T19:31:55.000Z,0.0.4856974-1733945500-538802333,0.0.4856974,4643.620107,0.0.7835661,4643.620107,KBL,HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.0989 HBAR,0.00773043
2024-12-11T19:31:32.000Z,0.0.4369127-1733945478-617431746,0.0.4369127,2988,0.0.7835661,2988,KBL,HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.1003 HBAR,0.00750687
2024-12-11T19:31:14.000Z,0.0.1008120-1733945460-435172697,0.0.1008120,3127,0.0.7835661,3127,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 19.0740 HSUITE,0.00750156
2024-12-11T19:30:38.000Z,0.0.5276230-1733945424-029096103,0.0.5276230,15000,0.0.7835661,15000,KBL,[KABILA] HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.0859 HBAR,0.00751057
2024-12-11T18:58:30.000Z,0.0.1055166-1733943480-159901778,0.0.1055166,2999999.999998,0.0.7835661,2999999.999998,KBL,Hsuite DEX - Join HSUITE/KBL,0.03306235
2024-12-12T13:42:10.000Z,0.0.3556606-1734010916-764321615,0.0.3556606,12000,0.0.7835651,12000,KBL,,0
2024-12-12T13:40:55.000Z,0.0.1744281-1734010841-253592613,0.0.1744281,10857,0.0.7835651,10857,KBL,,0
2024-12-12T13:33:39.000Z,0.0.1117719-1734010403-510210476,0.0.1117719,15000,0.0.7835651,15000,KBL,,0
2024-12-12T12:58:50.000Z,0.0.707749-1734008318-106953081,0.0.707749,22500,0.0.7835651,22500,KBL,,0
2024-12-12T12:49:09.000Z,0.0.4713148-1734007732-527910802,0.0.4713148,5000,0.0.7835651,5000,KBL,,0
2024-12-12T12:39:42.000Z,0.0.3822398-1734007140-908935076,0.0.3822398,15233.498339,0.0.7835651,15233.498339,KBL,,0
2024-12-12T12:32:01.000Z,0.0.4713148-1734006709-465955155,0.0.4713148,9300.000001,0.0.7835651,9300.000001,KBL,,0
2024-12-12T12:31:44.000Z,0.0.1715105-1734006691-146009014,0.0.1715105,174.357589,0.0.7835651,174.357589,KBL,,0
2024-12-12T12:26:29.000Z,0.0.1221610-1734006375-654097472,0.0.7836733,100.187225,0.0.7835651,100.187225,KBL,,0
2024-12-12T12:23:28.000Z,0.0.589122-1734006191-348727953,0.0.589122,500,0.0.7835651,500,KBL,,0
2024-12-12T12:17:55.000Z,0.0.4713148-1734005854-453857125,0.0.4713148,9299.999999,0.0.7835651,9299.999999,KBL,,0
2024-12-12T12:15:53.000Z,0.0.1715105-1734005739-626560605,0.0.1715105,175.448282,0.0.7835651,175.448282,KBL,,0
2024-12-12T12:15:13.000Z,0.0.4713148-1734005697-933923766,0.0.4713148,9299.999999,0.0.7835651,9299.999999,KBL,,0
2024-12-12T12:13:29.000Z,0.0.841397-1734005599-814964551,0.0.4817915,99.7,0.0.7835651,99.7,KBL,,0
2024-12-12T12:12:38.000Z,0.0.4720507-1734005548-487649187,0.0.4817915,997,0.0.7835651,997,KBL,,0
2024-12-12T12:10:39.000Z,0.0.1232069-1734005430-295880633,0.0.1232069,5111.888729,0.0.7835651,5111.888729,KBL,,0
2024-12-12T12:09:09.000Z,0.0.589122-1734005331-975550147,0.0.589122,500,0.0.7835651,500,KBL,,0
2024-12-12T12:01:49.000Z,0.0.1296578-1734004894-989959522,0.0.4817915,9970,0.0.7835651,9970,KBL,,0
2024-12-12T12:00:58.000Z,0.0.4325689-1734004843-726259354,0.0.4325689,2199.509702,0.0.7835651,2199.509702,KBL,,0
2024-12-12T11:59:09.000Z,0.0.7136932-1734004738-189876169,0.0.7136932,5000,0.0.7835651,5000,KBL,,0
2024-12-12T11:49:31.000Z,0.0.1715105-1734004156-715585908,0.0.1715105,176.835684,0.0.7835651,176.835684,KBL,,0
2024-12-12T11:49:00.000Z,0.0.1715105-1734004125-404484021,0.0.1715105,92.360061,0.0.7835651,92.360061,KBL,,0
2024-12-12T11:47:01.000Z,0.0.4325689-1734004008-234596745,0.0.4325689,5057.038497,0.0.7835651,5057.038497,KBL,,0
2024-12-12T11:41:17.000Z,0.0.1158436-1734003666-038493171,0.0.1158436,15000,0.0.7835651,15000,KBL,,0
